Nitrogen(pmm),Phosphorus(pmm),Potassium(mm),temperature(F),humidity,soil_ph,rainfall(mm),label
95,14,50,26.6333118,84.31756844,6.560443519,56.31866159,watermelon
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea
36,59,46,34.28879307,93.61082872,6.721130543,127.2509777,papaya
160,60,135,26.59457564,84.40138636,6.505282511,432.4842151,onions
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,greengram
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,lentil
235,81,157,29.37989657,76.67705824,7.275908631,63.42051133,tomato
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
98,25,52,25.2801372,83.15393658,6.224066378,49.29456609,watermelon
152,47,148,24.26041326,77.37178493,6.118135089,577.6369168,onions
219,67,63,20.65389127,74.09851845,6.057888218,378.5276623,Cabbage
118,44,23,22.08458267,82.82904143,6.691690476,67.06459777,cotton
,,,,,,,
18,19,29,27.59376845,92.48519606,6.206077742,162.8432736,coconut
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
119,3,251,23.78487071,82.57970191,6.526938451,853.5059962,Carrots
2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,mango
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,pigeonpeas
11,72,22,29.37735586,44.82294584,6.842744374,172.40168,pigeonpeas
31,130,198,21.80129837,92.73446667,5.554823557,120.0586671,apple
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
215,38,71,23.25752971,84.16865884,6.055657851,315.9257908,Cabbage
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,banana
52,51,53,38.38231475,93.10378595,6.985804083,210.2735346,papaya
6,124,200,22.98208095,93.84505029,5.971332179,109.5852253,apple
14,22,9,17.24944623,91.13772765,6.543191814,112.5090516,orange
7,141,195,23.8812458,93.45067555,5.514253142,104.9116663,apple
23,75,25,31.07508973,47.19847683,7.077170002,91.31256412,pigeonpeas
22,9,44,24.72235539,88.87651295,5.744361602,112.1926517,pomegranate
29,11,5,23.13338811,91.94670335,7.639788459,104.4224145,orange
243,93,130,19.31282038,53.31059462,6.850675219,47.84721322,tomato
97,12,47,25.28784623,89.63667876,6.765094964,58.28697664,watermelon
16,0.72,594,60.56826647,98.27615676,6.225149146,155.5230147,lettuce
22,8,33,28.43572863,95.8840407,5.665785202,203.9283708,coconut
208,42,68,23.06075089,86.16499893,6.398378825,351.6322871,Cabbage
24,30,11,32.39523995,94.51768464,6.601395755,113.25373,orange
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,greengram
40,11,44,24.45840036,86.10874614,6.322396027,111.3779693,pomegranate
20,139,202,23.50201428,92.21083961,5.66999105,107.9868949,apple
230,58,67,21.98381984,84.82472315,6.358617587,347.6602912,Cabbage
25,21,11,32.23797837,90.15406807,6.460044778,104.7052254,orange
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
115,9,220,21.48482069,83.23403684,6.413820505,766.5094414,Carrots
10,0.96,592,48.83311542,99.04066611,6.721066007,167.2695336,lettuce
1,8,26,27.5136304,94.18955816,5.562911913,156.6732553,coconut
101,20,48,24.6774157,82.75411437,6.206247494,57.05709413,watermelon
134,101,112,12.79317385,65.91045757,7.329428513,68.56900624,tomato
177,46,150,25.54784593,78.64673176,6.320559922,474.0294889,onions
106,4,256,16.93733903,81.57276853,6.835051928,610.31958,Carrots
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
5,19,25,27.3511056,54.43945147,6.441328044,96.27792547,mango
9,143,197,23.75033085,92.88160462,5.570020684,117.6602827,apple
5,23,15,25.66901098,92.04670813,7.408939392,112.5424199,orange
33,59,19,23.19305333,62.74710773,7.641024177,49.55213308,lentil
59,62,52,43.67549305,93.10887229,6.608667684,103.8235658,papaya
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,grapes
12,20,10,24.45132792,93.10527686,6.528354932,109.4711098,orange
99,40,32,24.18471151,69.94807345,7.045543056,163.2708732,coffee
12,129,205,22.36238282,91.15761594,6.119432215,118.6832725,apple
88,35,35,27.55906475,58.45742907,6.784460602,117.9389993,coffee
157,52,168,22.62521116,83.80695049,6.526432563,442.9032502,onions
187,40,155,23.05375629,78.65444712,6.205155089,549.0530107,onions
29,25,14,30.49183837,90.4582865,7.781988584,113.3302105,orange
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,watermelon
31,56,23,31.46846241,35.39454002,5.661826398,174.5723999,pigeonpeas
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
191,76,137,22.69433399,51.98727688,6.607385142,74.43667882,tomato
16,56,17,33.80020039,40.03262418,7.445444883,176.6165894,pigeonpeas
29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,apple
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans
34,61,49,28.12971499,93.3210737,6.502675132,117.8201907,papaya
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea
3,141,197,21.98141856,91.12719303,6.142803397,115.4789148,apple
0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,apple
14,23,25,26.18552389,96.96637916,5.612122797,135.4186222,coconut
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea
242,75,61,21.58522028,88.88849952,6.071174297,341.1571825,Cabbage
113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton
39,64,52,28.91842453,94.63676767,6.678695788,63.68794608,papaya
247,46,72,21.14848234,80.14456992,6.215775881,324.0649694,Cabbage
40,70,20,31.80130272,45.03186173,5.623490043,147.0361442,pigeonpeas
13,0.94,833,65.15858915,99.88784647,6.145917193,158.0613356,lettuce
81,16,45,26.90435747,86.25426228,6.727468157,59.75980023,watermelon
222,49,75,22.24867811,71.88927276,6.773050652,333.8475445,Cabbage
28,67,21,21.79792649,63.73086065,6.250994223,46.62370222,lentil
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice
107,5,269,20.51424353,84.77207636,6.52669675,727.5207667,Carrots
13,126,204,23.1094265,92.79630809,6.383180271,108.183792,apple
82,29,35,26.67377159,52.24226285,6.246872394,156.1543898,coffee
116,8,226,13.72469567,89.89265625,6.041001517,720.784854,Carrots
6,63,23,26.01630259,49.94704718,5.906596905,160.3337447,pigeonpeas
15,36,27,27.78912455,53.96886679,5.643710216,91.01152997,mango
22,60,18,19.59221047,61.28633405,6.74398035,41.7704893,lentil
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
28,122,197,19.89363946,82.73366439,5.856575335,69.66256816,grapes
36,24,41,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate
211,45,80,20.90408624,68.67782252,6.390062668,340.9569082,Cabbage
23,62,19,16.51783455,20.4555596,5.609435128,98.77794225,kidneybeans
34,65,48,41.41968393,90.03863107,6.665024508,199.3096432,papaya
173,69,161,73.68053374,55.587132,6.947613296,32.37357992,coffee
11,132,197,15.99050693,81.23966573,5.734317007,74.40198861,grapes
34,45,21,28.18837136,82.60629652,6.287380117,37.01110438,greengram
221,114,129,27.00217332,69.41451848,7.185252733,27.46836651,tomato
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
2,75,22,23.89271875,61.78779413,6.658605362,52.55730112,lentil
12,29,13,22.45616931,91.52781832,7.57125447,118.0069295,orange
39,24,14,30.55472573,90.90343769,7.189259647,106.0711985,orange
28,58,24,19.72702528,18.28173015,5.748190463,143.7630894,kidneybeans
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea
9,69,20,19.30607278,23.96362799,5.591560999,129.3449326,kidneybeans
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange
29,36,25,28.28511547,88.4393979,7.130278657,48.56690235,greengram
168,49,165,27.14034009,88.15806826,6.652218178,484.016041,onions
31,62,52,33.7960155,93.00754254,6.99104104,182.026807,papaya
27,30,5,32.71748548,90.54608254,7.656978112,113.328978,orange
21,139,201,19.3642553,83.36094029,5.980598579,67.15094741,grapes
132,75,158,26.68706916,68.07558735,6.155252955,62.82965572,tomato
40,17,15,21.35093384,90.9492967,7.871063004,107.0862095,orange
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice
196,46,156,25.56181835,89.24172817,6.232665542,496.5331688,onions
10,0.64,822,63.84267255,99.30285592,6.150294256,157.5655434,lettuce
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas
26,63,17,29.87854588,65.73085206,6.950300686,44.95654782,lentil
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
218,65,185,18.68071992,68.73902417,6.986906902,27.42448903,tomato
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,greengram
7,56,18,18.31357543,24.32991649,5.698371311,76.14153904,kidneybeans
36,26,26,30.17294105,51.0845903,6.814630246,95.23444287,mango
1,76,19,24.18553163,46.68746847,6.669529416,177.3377996,pigeonpeas
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice
31,20,26,25.56567803,97.61361544,6.443168642,199.7936345,coconut
34,68,51,27.34734861,94.17756725,6.687088098,40.35153141,papaya
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea
136,64,152,19.95595064,75.59796333,6.407125726,23.93230528,tomato
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans
14,59,15,21.35135729,22.91244883,5.779090476,146.4548645,kidneybeans
110,7,45,26.63838589,84.69546874,6.189213927,48.32428609,watermelon
114,21,55,25.4438391,87.9392312,6.472756256,57.51549686,watermelon
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
19,0.77,770,46.10325005,98.02465993,6.680115855,156.8989775,lettuce
10,0.95,655,63.7665242,98.38163003,6.70674924,160.2268376,lettuce
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,greengram
126,50,19,24.69457084,81.7358876,6.628722836,78.58494391,cotton
8,50,21,28.62911222,89.1148059,6.218923893,50.49913241,greengram
5,8,5,11.03367937,92.22706805,6.562594972,112.7715925,orange
239,38,74,18.10897144,75.59668622,6.785563585,354.9249245,Cabbage
103,78,112,26.39210221,61.81442612,7.2107348,51.28322507,tomato
17,0.61,629,70.36471765,99.53456726,6.152764809,165.5866066,lettuce
10,0.64,766,65.68968213,99.99944177,6.724060482,156.780944,lettuce
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,grapes
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,pigeonpeas
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans
11,0.99,733,63.65045289,98.38240917,6.718324732,157.8198566,lettuce
217,74,69,22.05849933,82.11940774,6.427492767,377.3026837,Cabbage
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice
29,68,23,24.1638445,19.27907819,5.82738029,116.7324324,kidneybeans
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
110,3,260,21.8084614,81.63162145,6.586418637,696.2375088,Carrots
39,5,31,27.10134661,93.69979946,5.551963184,150.9502632,coconut
104,3,230,21.2926257,84.59161165,5.994085193,852.73169,Carrots
116,4,203,19.88819202,82.32452226,6.083211635,694.4562483,Carrots
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,coffee
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,coffee
48,62,47,25.34756111,93.02871078,6.803094965,174.4012337,papaya
25,143,198,22.81212536,91.51861705,6.027314401,107.855225,apple
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,greengram
91,21,50,24.33528185,81.44030363,6.762030215,48.32113628,watermelon
216,61,79,19.58948481,75.64694583,6.275388695,357.6448235,Cabbage
94,7,294,24.4100969,81.36966407,5.512101241,860.7968309,Carrots
12,61,19,19.33162606,24.13995025,5.655726817,68.51253427,kidneybeans
92,5,215,19.9731666,80.38902655,5.795406784,622.0312292,Carrots
104,47,18,23.9656349,76.97696717,7.633437412,90.75616738,cotton
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
25,17,40,18.91251245,87.74938524,6.608023872,111.2800516,pomegranate
108,4,249,20.55990293,81.61216235,5.603321026,877.4356309,Carrots
31,58,15,28.31886863,60.19461399,6.167855382,45.36521251,lentil
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,greengram
11,0.64,803,52.17442568,98.9167176,6.900124805,152.9145803,lettuce
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut
37,5,34,25.79490531,93.84150618,5.779032666,152.4238712,coconut
93,7,243,18.74852586,89.56707877,5.706300379,718.0575084,Carrots
109,29,28,23.26316991,60.5160021,6.724688503,194.1755471,coffee
18,21,35,23.2801227,94.94330457,6.368560522,111.1382096,pomegranate
21,6,41,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,grapes
103,3,237,18.70950436,81.48626209,5.958457271,750.933872,Carrots
140,45,15,25.5308271,80.04662756,5.801047545,99.39557151,cotton
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,mango
27,80,15,19.07096165,21.21092266,5.788386951,86.21917578,kidneybeans
117,5,239,22.64775116,84.18131191,6.335266047,707.1410055,Carrots
110,73,101,13.83029115,67.69961656,7.30858626,26.83938855,tomato
114,40,23,25.53676123,81.13668716,6.753978061,95.4262599,cotton
60,58,51,42.07213781,92.92203105,6.840802254,165.7412972,papaya
98,18,27,27.56088634,68.49299897,6.516312148,167.4358075,coffee
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,pigeonpeas
12,37,30,31.09779147,47.41196659,4.546466109,90.28624348,mango
32,57,18,15.53834801,23.75560241,5.695422863,107.3850593,kidneybeans
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice
19,7,9,27.255435,91.71369387,6.969883483,101.139435,orange
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
81,18,50,26.44019475,80.91934337,6.507110986,47.81847573,watermelon
19,0.88,687,66.15352098,98.29919387,6.441057935,160.1345848,lettuce
7,15,32,25.03512351,95.89739958,6.182232762,174.796583,coconut
28,27,32,28.94099669,93.00109012,5.764615485,191.7723087,coconut
2,24,34,28.89409382,54.80750249,6.472774648,94.76322976,mango
13,17,45,21.25433607,92.65058936,7.159520979,106.2784673,pomegranate
140,40,17,22.72767171,77.07598065,6.006085786,77.55176318,cotton
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize
113,5,264,24.7544927,88.29628182,6.9843058,786.2832909,Carrots
17,0.7,574,56.87001152,98.26865637,6.209759085,154.5936551,lettuce
190,40,144,25.32968304,88.11586962,6.403987418,586.8692349,onions
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
119,30,49,25.35794749,80.45846265,6.903020221,47.72078245,watermelon
26,66,22,18.06486101,65.1034354,6.300479414,51.54922825,lentil
26,135,203,33.78372897,81.16314317,5.685102769,74.53557341,grapes
104,3,240,24.08726355,89.00129773,6.49304771,643.6592999,Carrots
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango
90,7,224,18.75737442,85.48079746,6.703991797,830.5360682,Carrots
100,40,35,27.56441788,54.41094079,6.955787351,177.816092,coffee
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,pigeonpeas
16,0.75,585,61.63985264,98.21574612,6.145863753,156.1254699,lettuce
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,mango
7,11,32,29.25902906,95.11294697,5.542169139,184.7624496,coconut
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,greengram
1,132,200,16.27852801,82.94270065,5.620745638,66.57462809,grapes
40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,lentil
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea
27,8,30,26.44600063,98.29937782,6.008386283,221.2258168,coconut
11,14,5,11.50322938,94.8933184,6.946354724,115.5683776,orange
95,37,35,27.31317116,68.4233391,6.348337519,192.4288139,coffee
99,6,228,14.93245954,87.65977254,5.65177009,819.2419143,Carrots
4,24,43,22.40423537,88.1508343,7.199504273,109.8695196,pomegranate
108,89,53,29.55054817,78.06762846,5.808497604,99.34482238,banana
181,59,157,25.32595541,81.53119393,6.470616077,578.3859878,onions
181,47,152,26.02730979,81.36505531,6.369292112,519.806209,onions
225,64,179,19.78226159,65.123516,6.673023513,20.3919938,tomato
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,lentil
0,74,17,23.33375853,64.50515776,7.240988401,47.01510708,lentil
56,50,52,33.08706051,92.25197542,6.770384816,88.1300769,papaya
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,cotton
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea
40,24,25,28.70595247,50.44030129,5.445008416,95.8946444,mango
185,43,148,26.7205603,88.25652053,6.404376205,405.875782,onions
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,grapes
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea
5,32,33,32.32362177,52.5896771,5.842763773,93.36718816,mango
40,143,201,24.97256132,82.72828653,6.476757723,66.70016285,grapes
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,cotton
27,139,205,22.48403042,93.40819246,5.772179946,105.5473627,apple
19,65,25,18.09551014,18.29318436,5.625096446,144.7902323,kidneybeans
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
32,25,9,10.35609594,93.75652041,7.796034006,101.1456947,orange
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
90,9,291,24.62851859,89.0696504,6.597027775,866.9341222,Carrots
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,greengram
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,coffee
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
16,143,197,22.61711614,93.51978375,5.90402645,116.9256766,apple
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
40,22,29,27.55821802,99.98187601,5.735364307,174.6256481,coconut
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
213,70,86,20.63761322,89.074717,6.538220613,330.9687321,Cabbage
111,6,53,26.4930645,88.59143088,6.313512999,46.06382209,watermelon
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,pigeonpeas
37,70,25,19.73136909,24.89487354,5.819403771,84.06354115,kidneybeans
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,chickpea
5,136,195,22.35628673,91.92360477,6.264202804,107.7697413,apple
0,17,30,35.47478322,47.97230503,6.279133738,97.79072474,mango
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
33,120,205,35.12158265,82.26890793,5.550832178,69.71518491,grapes
31,68,45,42.92325255,90.07600528,6.938313356,196.2408242,papaya
163,59,158,25.79348277,77.02420972,6.245470656,441.9404727,onions
5,21,38,22.43377991,90.3396556,6.107054808,112.459697,pomegranate
22,62,16,34.6455408,54.32342534,4.828936119,180.9009998,pigeonpeas
101,11,51,25.50736962,84.24340241,6.792035575,44.2068997,watermelon
89,28,33,26.44414097,53.83876189,6.993236001,175.3723314,coffee
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
222,64,66,23.00731733,61.54486194,6.17985356,366.0468654,Cabbage
15,0.96,837,61.41744065,98.10479686,6.50201821,168.4227817,lettuce
13,0.88,689,54.54939221,99.45749635,6.668399678,161.6042657,lettuce
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea
171,100,192,23.64203621,71.4982427,6.39198919,35.46517964,tomato
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon
40,73,20,21.59343016,20.31871249,5.811314232,61.13872036,kidneybeans
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon
35,142,203,21.17089176,90.23730166,5.895319002,123.6495149,apple
24,33,35,29.26382931,54.82257868,5.342866119,100.7586226,mango
7,63,24,22.95458237,24.03553105,5.858617867,107.7315386,kidneybeans
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,mango
22,11,29,28.03380598,95.01630593,5.955742971,218.0055713,coconut
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,lentil
15,0.65,702,45.1283996,99.97251908,6.979583627,168.2535264,lettuce
